Sport,Oficial Name,Sportium,Codere,Betfair,Bwin
Bundesliga,Mainz 05,Mainz,Mainz,Mainz,Mainz 05
Bundesliga,Hamburg,Hamburgo,Hamburgo,Hamburgo,Hamburgo
Bundesliga,Colonia,Colonia,Colonia,Colonia,Colonia
Serie A,Napoles,Nápoles,Nápoles,Nápoles,Nápoles
Serie A,Juventus,Juventus,Juventus,Juventus,Juventus
Serie A,Lazio,Lazio,Lazio,Lazio,Lazio
Serie A,Inter de Mil�n,Inter Milán,Inter Milán,Inter de Milán,Inter de Milán
Serie A,Roma,Roma,Roma,Roma,Roma
Serie A,Sampdoria,Sampdoria,Sampdoria,Sampdoria,Sampdoria
Serie A,AC Milan,AC Milan,AC Milán,AC Milán,Milan
Serie A,Atalanta,Atalanta,Atalanta,Atalanta,Atalanta
Serie A,Torino,Torino,Torino,Torino,Torino
Serie A,Fiorentina,Fiorentina,Fiorentina,Fiorentina,Fiorentina
Serie A,Udinese,Udinese,Udinese,Udinese,Udinese
Serie A,Bolonia,Bolonia,Bolonia,Bologna,Bologna
Serie A,Sassuolo,Sassuolo,Sassuolo,Sassuolo,Sassuolo
Serie A,Crotone,Crotone,Crotone,Crotone,Crotone
Serie A,SPAL,SPAL,SPAL,Spal,Spal
Serie A,Hellas Verona,Verona,Hellas Verona,Verona,Hellas Verona
Serie A,Cagliari,Cagliari,Cagliari,Cagliari,Cagliari
Serie A,Genova,Génova,Genoa,Génova,Genoa CFC
Serie A,Chievo,Chievo,Chievo,Chievo,Chievo
Serie A,Benevento,Benevento Calcio,Benevento,Benevento,Benevento
Ligue 1,PSG,PSG,PSG,PSG,
Ligue 1,Monaco,Mónaco,Mónaco,Mónaco,Mónaco
Ligue 1,Oly. de Marsella,Marsella,Marsella,Marsella,Olympique de Marsella
Ligue 1,Oly. de Lyon,Lyon,Lyon,,Olympique de Lyon
Ligue 1,Montpellier,Montpellier,Montpellier,Montpellier,Montpellier HSC
Ligue 1,Nantes,Nantes,Nantes,Nantes,Nantes
Ligue 1,Rennes,Rennes,Rennes,Rennes,Stade Rennais
Ligue 1,Bordeaux,Girondins de Burdeos,Burdeos,Burdeos,
Ligue 1,Niza,Niza,Niza,Niza,OGC Niza
Ligue 1,Guingamp,Guingamp,Guingamp,Guingamp,EA Guingamp
Ligue 1,Dijon,Dijon,Dijon,Dijon,
Ligue 1,Saint Etienne,St Etienne,St Etienne,Saint-Étienne,AS Saint-Etienne
Ligue 1,Caen,Caen,Caen,Caen,Caen
Ligue 1,Estraburgo,Estrasburgo,Strasbourg,Estrasburgo,
Ligue 1,Amiens,Amiens,Amiens,Amiens,Amiens SC
Ligue 1,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse FC
Ligue 1,Angers,Angers,Angers,Angers,Angers SCO
Ligue 1,Troyes,Troyes,Troyes,Troyes,Estac Troyes
Ligue 1,Lille,Lille,Lille,Lille,Lille
Ligue 1,Metz,Metz,Metz,Metz,Metz
UEFA,Atletico de Madrid,Atlético Madrid,Atl�tico,Atlético de Madrid,Atlético de Madrid
UEFA,Lokomotiv Moscou,Lokomotiv Moscú,Lokomotiv Mosc�,Lokomotiv,Lokomotiv de Moscú
UEFA,Borussia Dormund,Borussia Dortmund,Dortmund,Borussia Dortmund,Borussia Dortmund
UEFA,RB Salzburg,Red Bull Salzburg,Salzburgo,Red Bull Salzburgo,Red Bull Salzburgo
UEFA,Milano,,AC Mil�n,AC Mil�n,Milan
UEFA,Arsenal,,Arsenal,Arsenal,Arsenal
UEFA,CSKA Moscou,CSKA Moscú,CSKA Moscú,CSKA Moscú,CSKA Moscú
UEFA,Olympique de Lyon,,Lyon,Lyon,Olympique de Lyon
UEFA,RB Leipzig,RB Leipzig,Leipzig,RB Leipzig,
UEFA,Zenit,Zenit,Zenit,Zenit San Petesburgo,
UEFA,Lazio,Lazio,Lazio,Lazio,Lazio
UEFA,Dinamo Kiev,Dynamo Kiev,Dinamo Kiev,Dynamo Kiev,
UEFA,Olympique de Marsella,,Marsella,Marsella,Olympique de Marsella
UEFA,Athletic de Bilbao,,Athletic,Athletic de Bilbao,
UEFA,Sporting de Lisboa,Sporting Lisboa,SP.Lisboa,Sporting de Lisboa,Sporting de Lisboa
UEFA,Viktoria Plzen,Viktoria Plzen,Viktoria Plzen,Plzen,FC Viktoria Plzen
