0.9965,"['Washington Wizards', 'Golden State Warriors']","['Codere', '4.5', 'Betfair', ' 1.28 ']"
0.988,"['Washington Wizards', 'Golden State Warriors']","['Sportium', '4.33', 'Betfair', ' 1.28 ']"
0.9852,"['Boston Celtics', 'Charlotte Hornets']","['Betfair', ' 1.33 ', 'Codere', '3.8']"
0.9826,"['Leganes', 'Malaga']","['Codere', '2.05', 'Betfair', ' 3.25 ', 'Betfair', ' 4.5 ']"
0.9819,"['Troyes', 'PSG']","['Sportium', '12.00', 'Betfair', ' 6.5 ', 'Sportium', '1.28']"
0.9819,"['Troyes', 'PSG']","['Betfair', ' 12.0 ', 'Betfair', ' 6.5 ', 'Sportium', '1.28']"
0.9803,"['Arsenal', 'Manchester City']","['Codere', '4.75', 'Betfair', ' 4.2 ', 'Betfair', ' 1.75 ']"
0.9786,"['Atletico de Madrid', 'Lokomotiv Moscou']","['Bwin', '1.28', 'Sportium', '5.50', 'Sportium', '17.00']"
0.9785,"['PSG', 'Real Madrid']","['Sportium', '2.10', 'Betfair', ' 4.2 ', 'Betfair', ' 3.25 ']"
0.9783,"['Boston Celtics', 'Charlotte Hornets']","['Betfair', ' 1.33 ', 'Sportium', '3.70']"
0.9766,"['San Antonio Spurs', 'New Orleans Pelicans']","['Betfair', ' 1.53 ', 'Codere', '2.7']"
0.9766,"['San Antonio Spurs', 'New Orleans Pelicans']","['Betfair', ' 1.53 ', 'Sportium', '2.70']"
0.9764,"['Las Palmas', 'Barcelona']","['Betfair', ' 17.0 ', 'Betfair', ' 8.0 ', 'Bwin', '1.19']"
0.976,"['Troyes', 'PSG']","['Codere', '12', 'Codere', '6.25', 'Sportium', '1.28']"
0.976,"['Troyes', 'PSG']","['Sportium', '12.00', 'Codere', '6.25', 'Sportium', '1.28']"
0.9754,"['Lazio', 'Juventus']","['Betfair', ' 3.6 ', 'Betfair', ' 3.3 ', 'Codere', '2.25']"
0.9739,"['PSG', 'Real Madrid']","['Sportium', '2.10', 'Betfair', ' 4.2 ', 'Sportium', '3.20']"
0.9739,"['Chelsea', 'Crystal Palace']","['Sportium', '1.30', 'Betfair', ' 6.0 ', 'Betfair', ' 11.0 ']"
0.9738,"['Celta de Vigo', 'Las Palmas']","['Codere', '1.5', 'Betfair', ' 4.6 ', 'Betfair', ' 7.0 ']"
0.9738,"['Celta de Vigo', 'Las Palmas']","['Bwin', '1.50', 'Betfair', ' 4.6 ', 'Betfair', ' 7.0 ']"
0.9735,"['Burnley', 'Everton']","['Betfair', ' 2.55 ', 'Betfair', ' 3.1 ', 'Bwin', '3.20']"
0.973,"['Memphis Grizzlies', 'Phoenix Suns']","['Codere', '1.714285714', 'Betfair', ' 2.25 ']"
0.9724,"['Detroit Pistons', 'Milwaukee Bucks']","['Betfair', ' 1.85 ', 'Codere', '2.05']"
0.9716,"['Memphis Grizzlies', 'Phoenix Suns']","['Sportium', '1.71', 'Betfair', ' 2.25 ']"
0.9711,"['Portland Trail Blazers', 'Minnesota Timberwolves']","['Sportium', '1.55', 'Codere', '2.6']"
0.971,"['Leganes', 'Malaga']","['Bwin', '2.00', 'Betfair', ' 3.25 ', 'Betfair', ' 4.5 ']"
0.9709,"['Real Madrid', 'Getafe']","['Sportium', '1.22', 'Betfair', ' 7.5 ', 'Sportium', '13.00']"
0.9709,"['Real Madrid', 'Getafe']","['Sportium', '1.22', 'Betfair', ' 7.5 ', 'Betfair', ' 13.0 ']"
0.9709,"['AC Milan', 'Inter de Mil\xef\xbf\xbdn']","['Sportium', '2.60', 'Codere', '3.15', 'Codere', '3.05']"
0.9709,"['AC Milan', 'Inter de Mil\xef\xbf\xbdn']","['Betfair', ' 2.6 ', 'Codere', '3.15', 'Codere', '3.05']"
0.9707,"['Orlando Magic', 'Toronto Raptors']","['Codere', '4.75', 'Betfair', ' 1.22 ']"
0.9706,"['Atlanta Hawks', 'Indiana Pacers']","['Codere', '2.75', 'Betfair', ' 1.5 ']"
0.9706,"['Atlanta Hawks', 'Indiana Pacers']","['Sportium', '2.75', 'Betfair', ' 1.5 ']"
0.9706,"['Dallas Mavericks', 'Oklahoma City Thunder']","['Codere', '2.75', 'Sportium', '1.50']"
0.9706,"['Dallas Mavericks', 'Oklahoma City Thunder']","['Codere', '2.75', 'Betfair', ' 1.5 ']"
0.9706,"['Dallas Mavericks', 'Oklahoma City Thunder']","['Betfair', ' 2.75 ', 'Sportium', '1.50']"
0.9706,"['Amiens', 'Rennes']","['Betfair', ' 3.25 ', 'Bwin', '3.10', 'Betfair', ' 2.5 ']"
0.9703,"['Sporting de Lisboa', 'Viktoria Plzen']","['Bwin', '1.44', 'Sportium', '4.33', 'Sportium', '9.50']"
0.97,"['Leicester', 'Bournemouth']","['Betfair', ' 1.85 ', 'Betfair', ' 3.8 ', 'Codere', '4.4']"
0.97,"['Leicester', 'Bournemouth']","['Bwin', '1.85', 'Bwin', '3.80', 'Codere', '4.4']"
0.9699,"['Roma', 'Torino']","['Sportium', '1.66', 'Bwin', '4.00', 'Bwin', '5.60']"
0.9697,"['Las Palmas', 'Barcelona']","['Betfair', ' 17.0 ', 'Codere', '8', 'Betfair', ' 1.18 ']"
0.9697,"['Las Palmas', 'Barcelona']","['Betfair', ' 17.0 ', 'Betfair', ' 8.0 ', 'Sportium', '1.18']"
0.9694,"['St Louis Blues', 'Detroit Red Wings']","['Codere', '1.65', 'Sportium', '2.35']"
0.9694,"['San Jose Sharks', 'Chicago Blackhawks']","['Codere', '1.65', 'Sportium', '2.35']"
0.9692,"['Liverpool', 'Oporto']","['Sportium', '1.50', 'Betfair', ' 4.5 ', 'Sportium', '7.00']"
0.9692,"['Liverpool', 'Oporto']","['Betfair', ' 1.5 ', 'Betfair', ' 4.5 ', 'Sportium', '7.00']"
0.9692,"['Arsenal', 'Manchester City']","['Sportium', '4.50', 'Betfair', ' 4.2 ', 'Betfair', ' 1.75 ']"
0.9692,"['Arsenal', 'Manchester City']","['Bwin', '4.50', 'Betfair', ' 4.2 ', 'Betfair', ' 1.75 ']"
0.969,"['Arsenal', 'Manchester City']","['Codere', '4.75', 'Codere', '4', 'Betfair', ' 1.75 ']"
0.9688,"['SPAL', 'Bolonia']","['Codere', '2.4', 'Betfair', ' 3.2 ', 'Betfair', ' 3.3 ']"
0.9688,"['SPAL', 'Bolonia']","['Sportium', '2.40', 'Betfair', ' 3.2 ', 'Betfair', ' 3.3 ']"
0.9688,"['Schalke 04', 'Hertha Berlin']","['Sportium', '1.66', 'Betfair', ' 3.8 ', 'Betfair', ' 6.0 ']"
0.9685,"['Las Palmas', 'Barcelona']","['Betfair', ' 17.0 ', 'Bwin', '7.50', 'Bwin', '1.19']"
0.9684,"['Leganes', 'Malaga']","['Codere', '2.05', 'Codere', '3.1', 'Betfair', ' 4.5 ']"
0.9681,"['Miami Heat', 'LA Lakers']","['Sportium', '1.58', 'Codere', '2.5']"
0.9678,"['Manchester City', 'Basel']","['Sportium', '1.14', 'Bwin', '8.50', 'Sportium', '26.00']"
0.9676,"['Manchester United', 'Sevilla']","['Sportium', '1.72', 'Codere', '3.7', 'Sportium', '5.50']"
0.9675,"['Angers', 'Guingamp']","['Codere', '2.05', 'Betfair', ' 3.25 ', 'Betfair', ' 4.2 ']"
0.9675,"['Angers', 'Guingamp']","['Sportium', '2.05', 'Betfair', ' 3.25 ', 'Betfair', ' 4.2 ']"
0.9675,"['Angers', 'Guingamp']","['Bwin', '2.05', 'Betfair', ' 3.25 ', 'Betfair', ' 4.2 ']"
0.9672,"['Arizona Coyotes', 'Minnesota Wild']","['Sportium', '2.40', 'Codere', '1.62']"
0.9672,"['PSG', 'Real Madrid']","['Sportium', '2.10', 'Sportium', '4.00', 'Betfair', ' 3.25 ']"
0.9672,"['Liverpool', 'Newcastle']","['Sportium', '1.22', 'Betfair', ' 7.0 ', 'Betfair', ' 14.0 ']"
0.9671,"['Borussia Dormund', 'RB Salzburg']","['Sportium', '1.44', 'Bwin', '4.75', 'Bwin', '7.75']"
0.9669,"['Detroit Pistons', 'Milwaukee Bucks']","['Sportium', '1.83', 'Codere', '2.05']"
0.9669,"['Detroit Pistons', 'Milwaukee Bucks']","['Sportium', '1.83', 'Betfair', ' 2.05 ']"
0.9668,"['Sporting de Lisboa', 'Viktoria Plzen']","['Bwin', '1.44', 'Betfair', ' 4.5 ', 'Betfair', ' 8.5 ']"
0.9666,"['Real Madrid', 'Getafe']","['Sportium', '1.22', 'Codere', '7.25', 'Sportium', '13.00']"
0.9666,"['Oly. de Marsella', 'Nantes']","['Sportium', '1.53', 'Betfair', ' 4.2 ', 'Betfair', ' 7.0 ']"
