Serie A,Codere,Fiorentina,Benevento,1.25,5.75,10
Serie A,Codere,Bolonia,Atalanta,3.9,3.25,1.95
Serie A,Codere,Cagliari,Lazio,5.25,3.8,1.62
Serie A,Codere,Crotone,Sampdoria,3.4,3.15,2.2
Serie A,Codere,Juventus,Udinese,1.25,5.75,10
Serie A,Codere,Sassuolo,SPAL,1.9,3.4,4
Serie A,Codere,Genova,AC Milan,3.05,3.05,2.4
Serie A,Codere,Inter de Mil�n,Napoles,3.45,3.35,2.05
Serie A,Codere,Juventus,Atalanta,1.43,4,7.5
Bundesliga,Codere,Ausburg,Hoffenheim,2.55,3.35,2.65
Bundesliga,Codere,Frankfurt,Hannover 96,1.75,3.5,4.6
Bundesliga,Codere,Hamburg,Mainz 05,2.2,3.15,3.4
Bundesliga,Codere,Schalke 04,Hertha Berlin,1.6,3.7,5.75
Bundesliga,Codere,Wolfsburg,Bayern Leverkusen,3.25,3.45,2.15
Bundesliga,Codere,RB Leipzig,Borussia Dormund,2.6,3.5,2.5
Bundesliga,Codere,Colonia,Stuttgart,2.4,3.2,2.95
Bundesliga,Codere,Friburgo,Bayern Munchen,10,5.5,1.25
Bundesliga,Codere,Mainz 05,Schalke 04,3.05,3.25,2.3
Bundesliga,Codere,Bayern Munchen,Hamburg,1.12,8,20
Bundesliga,Codere,Hannover 96,Ausburg,2.4,3.25,2.85
Bundesliga,Codere,Hertha Berlin,Friburgo,2.2,3.25,3.25
Bundesliga,Codere,Hoffenheim,Wolfsburg,1.83,3.7,4
Bundesliga,Codere,Stuttgart,RB Leipzig,2.85,3.25,2.4
Bundesliga,Codere,Borussia Dormund,Frankfurt,1.6,4,5.25
Bundesliga,Codere,Werder Bremen,Colonia,1.85,3.6,4
Ligue 1,Codere,Niza,Lille,1.75,3.35,5
Ligue 1,Codere,Monaco,Bordeaux,1.57,3.9,5.75
Ligue 1,Codere,Troyes,PSG,12,6.25,1.2
Ligue 1,Codere,Amiens,Rennes,3,2.95,2.5
Ligue 1,Codere,Angers,Guingamp,2.05,3.2,3.8
Ligue 1,Codere,Metz,Toulouse,2.55,3.1,2.8
Ligue 1,Codere,Saint Etienne,Dijon,1.72,3.5,5
Ligue 1,Codere,Caen,Estraburgo,2.1,3.15,3.6
Ligue 1,Codere,Montpellier,Oly. de Lyon,2.9,3.25,2.4
Ligue 1,Codere,Oly. de Marsella,Nantes,1.45,4.25,6.5
Ligue 1,Codere,Estraburgo,Monaco,5.25,3.6,1.67
Ligue 1,Codere,PSG,Metz,1.03,15,27
Ligue 1,Codere,Bordeaux,Angers,1.62,3.6,5.75
Ligue 1,Codere,Dijon,Amiens,1.95,3.3,4
Ligue 1,Codere,Lille,Montpellier,2.3,3.25,3.05
Ligue 1,Codere,Nantes,Troyes,1.72,3.4,5.25
Ligue 1,Codere,Rennes,Saint Etienne,2.15,3.3,3.4
Ligue 1,Codere,Guingamp,Niza,2.55,3.15,2.8
Ligue 1,Codere,Oly. de Lyon,Caen,1.45,4.2,7.25
Ligue 1,Codere,Toulouse,Oly. de Marsella,4.4,3.35,1.85
UEFA,Codere,CSKA Moscou,Olympique de Lyon,2.65,3.15,2.65
UEFA,Codere,Borussia Dormund,RB Salzburg,1.4,4.6,6.75
UEFA,Codere,Lazio,Dinamo Kiev,1.45,4.4,6.75
UEFA,Codere,RB Leipzig,Zenit,1.75,3.6,4.6
UEFA,Codere,Olympique de Marsella,Athletic de Bilbao,1.88,3.5,4
UEFA,Codere,Sporting de Lisboa,Viktoria Plzen,1.4,4.4,7.5
NBA,Sportium,Detroit Pistons,Milwaukee Bucks,1.83,None,2.00
NBA,Sportium,Orlando Magic,Toronto Raptors,4.50,None,1.20
NBA,Sportium,Atlanta Hawks,Indiana Pacers,2.75,None,1.47
NBA,Sportium,Boston Celtics,Charlotte Hornets,1.29,None,3.70
NBA,Sportium,Washington Wizards,Golden State Warriors,4.33,None,1.22
NBA,Sportium,Memphis Grizzlies,Phoenix Suns,1.71,None,2.20
NBA,Sportium,Dallas Mavericks,Oklahoma City Thunder,2.70,None,1.50
NBA,Sportium,San Antonio Spurs,New Orleans Pelicans,1.50,None,2.70
NBA,Sportium,LA Clippers,Houston Rockets,4.00,None,1.25
NBA,Sportium,Miami Heat,LA Lakers,1.58,None,2.50
NBA,Sportium,Cleveland Cavaliers,Philadelphia 76ers,1.69,None,2.25
NBA,Sportium,Sacramento Kings,Brooklyn Nets,1.90,None,1.90
NBA,Sportium,Portland Trail Blazers,Minnesota Timberwolves,1.55,None,2.60
Euroliga,Sportium,Zalgiris,Barcelona,1.44,None,2.75
Euroliga,Sportium,Maccabi Tel Aviv,CSKA Moscou,3.25,None,1.36
Euroliga,Sportium,Panathinakos,Olympiakos,1.40,None,3.00
